,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition_prediction
129,0,0,0,0,39.74893077,1.55e-05,-1.55e-05,172.854644,0.000301,-0.000301,0.8809999999999999,0.003,-0.003,7.3051,0.0213,-0.0213,15179.0,44.1,-44.1,14.21,4.46,-1.49,552,21.87,20.59,-6.71,561.1,1,6122,181,-218,4.487,0.052000000000000005,-0.20800000000000002,0.9640000000000001,0.303,-0.10099999999999999,293.17929,41.969238,15.344000000000001,Negative
139,0,0,0,0,119.0207044,0.0001179,-0.0001179,222.236492,0.000704,-0.000704,0.076,0.17300000000000001,-0.076,8.1405,0.0382,-0.0382,7430.5,38.4,-38.4,8.98,1.23,-1.35,366,4.25,1.58,-1.34,223.5,1,5453,81,-73,4.342,0.14400000000000002,-0.10800000000000001,1.062,0.146,-0.16,291.58377,42.368159999999996,15.085,Positive
158,0,0,0,0,3.96996298,1.4000000000000001e-05,-1.4000000000000001e-05,137.75447,0.0031,-0.0031,0.836,0.10099999999999999,-0.602,1.1757,0.09699999999999999,-0.09699999999999999,299.2,24.5,-24.5,1.78,0.09,-0.16,992,229.37,41.51,-50.3,15.0,2,5121,76,-84,4.457,0.091,-0.039,0.888,0.049,-0.077,290.39322000000004,43.363898999999996,15.193,Positive
161,0,0,0,0,2.6888992330000003,1.9e-07,-1.9e-07,170.1020904,5.610000000000001e-05,-5.610000000000001e-05,0.001,0.061,-0.001,2.11275,0.0025399999999999997,-0.0025399999999999997,37492.0,44.0,-44.0,12.04,1.36,-0.79,929,175.76,66.28,-39.88,1011.6,1,4820,130,-144,4.667,0.027000000000000003,-0.063,0.639,0.07200000000000001,-0.042,296.68307000000004,42.967869,15.765999999999998,Positive
174,0,0,0,0,83.92494032,8e-05,-8e-05,236.76334,0.000718,-0.000718,0.6579999999999999,0.031,-0.052000000000000005,6.7904,0.0748,-0.0748,7958.7,54.8,-54.8,4.78,0.34,-0.47,226,0.62,0.18,-0.18,182.1,1,3960,118,-130,4.746,0.045,-0.04,0.509,0.036000000000000004,-0.05,287.85239,43.897991,15.754000000000001,Positive
189,0,0,0,0,13.81020318,2.97e-05,-2.97e-05,172.33533,0.00175,-0.00175,0.7909999999999999,0.033,-0.5429999999999999,3.048,0.0635,-0.0635,1309.7,31.5,-31.5,4.56,1.33,-0.88,833,113.75,99.51,-49.06,46.2,1,5942,176,-193,4.327,0.136,-0.187,1.1420000000000001,0.33299999999999996,-0.222,281.96063,43.703109999999995,15.425,Positive
194,0,0,0,0,3.8866552239999996,7.82e-06,-7.82e-06,169.73814,0.00155,-0.00155,0.649,0.053,-0.47600000000000003,3.1646,0.0604,-0.0604,581.6,13.9,-13.9,1.87,0.36,-0.15,1010,246.29,141.54,-59.99,48.1,1,5662,153,-153,4.61,0.032,-0.12,0.738,0.14,-0.06,288.72665,44.60751,15.370999999999999,Positive
223,0,0,0,0,39.4759093,0.0001317,-0.0001317,173.31207,0.0025,-0.0025,0.938,0.011000000000000001,-0.647,2.968,0.146,-0.146,1012.6,42.8,-42.8,4.06,1.31,-0.44,577,26.13,24.8,-8.31,26.6,1,6225,172,-237,4.45,0.054000000000000006,-0.21600000000000003,1.031,0.332,-0.111,291.20804,45.244389,15.229000000000001,Positive
244,0,0,0,0,102.9641952,0.0005766,-0.0005766,158.07473000000002,0.0037700000000000003,-0.0037700000000000003,0.922,0.005,-0.006999999999999999,15.735,0.263,-0.263,1896.7,27.3,-27.3,39.0,1.1,-9.39,797,95.4,8.7,-47.04,86.1,1,5047,40,-160,3.0660000000000003,0.033,-0.027000000000000003,7.119,0.201,-1.713,296.81772,46.781509,13.607999999999999,Negative
248,0,0,0,0,90.1240507,0.0004433,-0.0004433,356.23415,0.0032,-0.0032,0.698,0.079,-0.415,11.649000000000001,0.28,-0.28,3020.3,57.5,-57.5,7.12,2.41,-0.8,485,13.09,13.03,-4.26,57.9,1,6520,180,-248,4.375,0.055999999999999994,-0.22399999999999998,1.215,0.41,-0.13699999999999998,293.22391,38.033581,14.96,Positive
250,0,0,0,0,0.689210173,4.5e-07,-4.5e-07,133.28583999999998,0.0005200000000000001,-0.0005200000000000001,0.154,0.271,-0.154,1.6169,0.0179,-0.0179,195.0,2.4,-2.4,1.32,0.19,-0.06,1943,3362.71,1364.69,-528.86,93.4,1,5630,100,-122,4.505,0.023,-0.128,0.9540000000000001,0.138,-0.039,281.55118,47.469959,13.248,Positive
266,0,0,0,0,13.11896244,6.04e-06,-6.04e-06,261.53943399999997,0.00032900000000000003,-0.00032900000000000003,0.042,0.271,-0.042,4.3045,0.0122,-0.0122,372.2,1.5,-1.5,8.25,0.45,-2.5,1768,2310.43,419.83,-1290.11,267.4,1,7221,114,-171,3.488,0.272,-0.048,4.24,0.22699999999999998,-1.284,282.00031,48.542221000000005,9.275,Positive
269,0,0,0,0,53.5057611,0.00015959999999999998,-0.00015959999999999998,172.98304,0.00248,-0.00248,0.46,0.002,-0.441,10.5616,0.077,-0.077,195.6,3.1,-3.1,2.52,0.16,-0.12,675,49.16,9.16,-6.52,71.2,1,6247,75,-69,4.016,0.03,-0.027000000000000003,1.7619999999999998,0.11199999999999999,-0.084,295.80267000000003,45.988079,9.582,Positive
272,0,0,0,0,6.79685353,2.25e-05,-2.25e-05,138.11324,0.00297,-0.00297,0.62,0.33,-0.389,3.1702,0.0835,-0.0835,393.1,14.9,-14.9,2.01,0.62,-0.2,985,222.91,206.66,-65.9,29.8,1,6061,180,-198,4.486000000000001,0.05,-0.2,0.97,0.3,-0.1,294.16321,41.451801,15.390999999999998,Positive
278,0,0,0,0,13.4471791,1.25e-05,-1.25e-05,132.830555,0.0007700000000000001,-0.0007700000000000001,0.963,0.013000000000000001,-0.008,3.0454,0.0546,-0.0546,1428.2,21.1,-21.1,5.24,1.64,-0.7,848,122.34,112.28,-42.14,105.3,1,6276,169,-206,4.405,0.087,-0.203,1.041,0.326,-0.14,292.37476000000004,37.630959000000004,14.0,Positive
284,0,0,0,0,1.353771892,3.75e-06,-3.75e-06,261.43662,0.002,-0.002,1.203,0.56,-0.13699999999999998,7.0120000000000005,0.212,-0.212,1349.1,23.3,-23.3,430.99,136.1,-48.62,4903,136609.48,117403.45,-34984.84,76.7,1,4283,77,-60,2.012,0.11199999999999999,-0.13699999999999998,15.76,4.978,-1.778,292.71963999999997,48.852016,10.523,Negative
306,0,0,0,0,119.0624882,0.00014790000000000002,-0.00014790000000000002,149.22223,0.0010400000000000001,-0.0010400000000000001,0.968,0.423,-0.045,3.1188,0.0589,-0.0589,5372.3,94.1,-94.1,10.4,2.82,-1.89,366,4.26,3.51,-1.74,71.6,1,5697,173,-173,4.3919999999999995,0.171,-0.19,0.92,0.25,-0.16699999999999998,287.88812,39.078709,15.289000000000001,Negative
314,0,0,0,0,5.670155713,5.44e-06,-5.44e-06,136.201739,0.0007769999999999999,-0.0007769999999999999,1.2670000000000001,66.56,-0.225,0.9361,0.0608,-0.0608,536.7,19.6,-19.6,5.85,2.81,-1.22,341,3.21,4.86,-1.33,37.3,1,3337,115,-57,5.126,0.10400000000000001,-0.127,0.183,0.08800000000000001,-0.038,292.26181,41.442554,13.783,Positive
326,0,0,0,0,16.15811112,7.390000000000001e-05,-7.390000000000001e-05,143.00233,0.0036299999999999995,-0.0036299999999999995,1.8572,0.0984,-0.5537,6.0489999999999995,0.187,-0.187,2319.8,68.1,-68.1,86.13,36.08,-6.6,660,44.83,57.04,-10.68,52.8,1,5619,173,-156,4.5360000000000005,0.03,-0.29100000000000004,0.8740000000000001,0.366,-0.067,296.38229,48.045311,15.488,Negative
333,0,0,0,0,1.187352427,2.53e-07,-2.53e-07,133.465454,0.000176,-0.000176,1.222,0.026000000000000002,-0.028999999999999998,4.999,0.0139,-0.0139,20703.0,37.3,-37.3,67.35,20.04,-16.42,2251,6067.3,5334.23,-3101.3,717.4,1,6424,179,-247,4.186,0.18,-0.18,1.489,0.44299999999999995,-0.363,285.06335,44.167885,13.623,Negative
340,0,0,0,0,8.17242644,2.68e-05,-2.68e-05,361.20157,0.0024,-0.0024,0.9259999999999999,0.017,-0.648,3.9019999999999997,0.141,-0.141,864.3,26.0,-26.0,3.29,0.44,-0.19,858,127.95,45.45,-20.22,37.0,1,5705,76,-76,4.499,0.045,-0.113,0.905,0.121,-0.052000000000000005,293.87363,38.922482,15.24,Positive
342,0,0,0,0,4.298920099999999,2.01e-05,-2.01e-05,132.86186999999998,0.00396,-0.00396,0.972,0.032,-0.757,2.747,0.131,-0.131,237.6,13.7,-13.7,2.12,0.27,-0.27,1046,283.62,100.01,-78.24,20.0,1,5300,87,-71,4.385,0.132,-0.08800000000000001,0.986,0.124,-0.124,291.14249,37.061321,14.613,Positive
347,0,0,0,0,5.714817602999999,1.25e-06,-1.25e-06,355.00831,0.000154,-0.000154,0.096,0.121,-0.066,3.14126,0.00573,-0.00573,12295.0,26.4,-26.4,9.29,2.47,-0.99,943,187.27,154.76,-56.76,537.7,1,5695,189,-189,4.526,0.057999999999999996,-0.17300000000000001,0.8420000000000001,0.22399999999999998,-0.09,299.78632000000005,44.169540000000005,15.623,Positive
351,0,0,0,0,2.83668931,2.8199999999999998e-05,-2.8199999999999998e-05,353.81531,0.00636,-0.00636,0.33,0.13,-0.33,3.031,0.23,-0.23,166.1,15.7,-15.7,1.19,0.39,-0.12,1242,562.48,558.76,-169.45,12.1,3,5831,184,-205,4.5169999999999995,0.038,-0.212,0.9209999999999999,0.301,-0.094,290.21518,41.77597,15.808,Positive
364,0,0,0,0,2.624234833,3.89e-07,-3.89e-07,132.30498799999998,0.000122,-0.000122,0.7809999999999999,0.057,-0.39,1.3874,0.0316,-0.0316,2607.0,8.9,-8.9,5.11,0.6,-0.23,1164,434.31,151.68,-68.35,361.1,1,5340,106,-106,4.513999999999999,0.033,-0.10400000000000001,0.899,0.105,-0.04,288.0383,50.651610999999995,13.687000000000001,Positive
397,0,0,0,0,30.5872153,0.00013130000000000002,-0.00013130000000000002,162.8842,0.00281,-0.00281,0.013000000000000001,0.424,-0.013000000000000001,5.3698,0.0906,-0.0906,464.8,16.1,-16.1,2.32,0.39,-0.24,621,35.08,16.21,-9.22,33.1,1,5944,106,-130,4.38,0.08,-0.12,1.082,0.18100000000000002,-0.111,296.54861,44.264671,14.142999999999999,Positive
401,0,0,0,0,3.1082511719999997,1.59e-06,-1.59e-06,170.244566,0.00040899999999999997,-0.00040899999999999997,0.9,0.012,-0.026000000000000002,2.5048,0.0646,-0.0646,1867.7,15.5,-15.5,4.43,0.74,-0.49,1096,340.69,180.7,-99.18,156.5,1,5330,159,-143,4.495,0.085,-0.114,0.847,0.141,-0.094,294.79974,46.207569,15.360999999999999,Positive
402,0,0,0,0,40.715561,0.0002096,-0.0002096,146.36485,0.004079999999999999,-0.004079999999999999,0.008,0.40700000000000003,-0.008,6.894,0.131,-0.131,680.9,25.2,-25.2,2.7,0.84,-0.28,578,26.34,23.94,-8.05,28.9,1,6297,169,-225,4.448,0.052000000000000005,-0.20800000000000002,1.031,0.32,-0.107,297.9516,46.264721,15.083,Positive
409,0,0,0,0,6.50327035,3.13e-05,-3.13e-05,135.26657,0.0035700000000000003,-0.0035700000000000003,0.08,0.375,-0.08,2.591,0.131,-0.131,418.3,24.1,-24.1,1.67,0.08,-0.12,804,98.81,16.62,-18.82,19.0,1,4999,79,-79,4.49,0.075,-0.03,0.843,0.04,-0.06,292.14447,47.157348999999996,15.692,Positive
410,0,0,0,0,4.09667624,1.9600000000000002e-05,-1.9600000000000002e-05,133.09833,0.0037600000000000003,-0.0037600000000000003,0.142,0.32,-0.142,2.19,0.122,-0.122,302.3,20.4,-20.4,1.42,0.07,-0.1,938,182.9,30.76,-34.85,16.2,3,4999,79,-79,4.49,0.075,-0.03,0.843,0.04,-0.06,292.14447,47.157348999999996,15.692,Positive
422,0,0,0,0,22.65117451,1.47e-05,-1.47e-05,140.337593,0.000551,-0.000551,0.925,0.003,-0.004,3.6895,0.0364,-0.0364,2250.0,17.5,-17.5,7.62,2.93,-0.98,855,126.57,144.35,-44.3,170.1,1,6968,194,-267,4.31,0.057999999999999996,-0.23199999999999998,1.3330000000000002,0.513,-0.171,290.10332999999997,39.781631,13.682,Positive
424,0,0,0,0,7.71790675,4.49e-05,-4.49e-05,139.15725,0.0046700000000000005,-0.0046700000000000005,0.11199999999999999,0.34700000000000003,-0.11199999999999999,1.84,0.14800000000000002,-0.14800000000000002,306.8,29.2,-29.2,0.9,0.06,-0.07,502,15.01,3.53,-3.2,12.6,1,3975,71,-87,4.753,0.031,-0.038,0.509,0.037000000000000005,-0.037000000000000005,281.05011,47.188148,15.232999999999999,Positive
429,0,1,0,0,6.8108237229999995,1.01e-06,-1.01e-06,136.04667,0.00011499999999999999,-0.00011499999999999999,0.57,0.011000000000000001,-0.01,7.98574,0.00861,-0.00861,14447.0,12.0,-12.0,26.06,6.36,-9.53,1626,1656.16,1245.3,-1094.83,1441.9,1,7226,228,-304,3.967,0.315,-0.135,2.079,0.507,-0.76,299.10281000000003,47.377781,12.628,Negative
446,0,0,0,0,64.617518,0.00019380000000000002,-0.00019380000000000002,166.14425,0.00236,-0.00236,0.9,0.018000000000000002,-0.064,5.796,0.235,-0.235,2486.6,50.2,-50.2,5.4,0.55,-0.61,383,5.09,1.94,-1.53,61.9,1,5043,164,-149,4.47,0.10400000000000001,-0.095,0.8809999999999999,0.09,-0.099,297.01482999999996,47.486431,15.332,Positive
458,0,0,0,0,51.59809554,4.6299999999999994e-05,-4.6299999999999994e-05,203.97991399999998,0.000721,-0.000721,0.251,0.15,-0.251,2.0153,0.0363,-0.0363,5869.2,87.1,-87.1,6.57,1.9,-0.59,449,9.61,8.34,-2.57,79.7,1,5681,169,-169,4.551,0.034,-0.195,0.8590000000000001,0.248,-0.078,287.61688,38.402321,15.617,Positive
464,0,0,0,0,21.76129812,1.73e-05,-1.73e-05,166.540438,0.000641,-0.000641,0.12300000000000001,0.28800000000000003,-0.12300000000000001,1.2429999999999999,0.026000000000000002,-0.026000000000000002,1300.7,26.8,-26.8,2.53,0.16,-0.1,486,13.18,3.0,-1.98,60.0,1,4859,97,-97,4.612,0.015,-0.045,0.72,0.047,-0.028999999999999998,291.25449,36.74361,12.559000000000001,Positive
465,0,0,0,0,12.71379418,2.6e-07,-2.6e-07,175.07256769999998,1.4999999999999999e-05,-1.4999999999999999e-05,0.485,0.081,-0.07200000000000001,2.44093,0.0037799999999999995,-0.0037799999999999995,36719.0,12.0,-12.0,2.31,0.0,0.0,181,0.26,0.0,0.0,2981.3,1,2661,0,0,5.2829999999999995,0.0,0.0,0.11599999999999999,0.0,0.0,287.55972,46.957085,13.102,Positive
477,0,0,0,0,7.0539344879999994,7.69e-06,-7.69e-06,136.35725300000001,0.000874,-0.000874,0.899,0.003,-0.623,1.7244,0.0315,-0.0315,511.5,10.6,-10.6,2.36,0.2,-0.17,840,117.33,32.05,-24.79,56.3,1,5357,107,-107,4.498,0.057999999999999996,-0.065,0.863,0.073,-0.065,291.06293,47.484798,13.915999999999999,Positive
479,0,0,0,0,7.6746614,2.3800000000000003e-05,-2.3800000000000003e-05,133.22431,0.00265,-0.00265,0.9390000000000001,0.006999999999999999,-0.6509999999999999,1.9374,0.0698,-0.0698,503.0,28.3,-28.3,2.8,0.89,-0.29,957,198.67,191.59,-62.8,20.8,1,6063,190,-232,4.47,0.054000000000000006,-0.21600000000000003,1.001,0.318,-0.106,296.13141,47.43882,15.44,Positive
490,0,0,0,0,0.764017553,3.77e-06,-3.77e-06,132.2214,0.00448,-0.00448,0.442,0.5,-0.237,1.103,0.14300000000000002,-0.14300000000000002,128.2,13.0,-13.0,0.86,0.12,-0.07,1589,1503.79,649.53,-390.73,13.2,3,5142,153,-153,4.602,0.033,-0.083,0.755,0.09699999999999999,-0.065,286.41,42.681549,15.595999999999998,Positive
492,0,0,0,0,20.51360192,8.35e-05,-8.35e-05,357.49424,0.0031,-0.0031,0.703,0.017,-0.52,3.4769,0.0947,-0.0947,1174.1,41.1,-41.1,2.58,0.36,-0.23,540,20.15,9.98,-5.61,32.3,1,5310,185,-185,4.6080000000000005,0.045,-0.078,0.7040000000000001,0.1,-0.062,281.60541,42.390419,15.405999999999999,Positive
494,0,0,0,0,150.01895109999998,0.0001744,-0.0001744,224.68571400000002,0.000916,-0.000916,1.252,67.03,-0.16899999999999998,4.3823,0.0486,-0.0486,4319.7,46.8,-46.8,32.6,3.6,-2.94,325,2.62,0.88,-0.62,106.2,2,5618,112,-112,4.46,0.081,-0.09,0.897,0.099,-0.081,283.20917000000003,48.777640999999996,14.232000000000001,Negative
497,0,0,0,0,205.912735,0.001169,-0.001169,252.74129,0.00324,-0.00324,0.196,0.228,-0.196,9.992,0.153,-0.153,2378.8,53.9,-53.9,4.68,0.68,-0.32,298,1.85,0.72,-0.34,49.4,1,5644,76,-84,4.457,0.051,-0.11,0.9690000000000001,0.142,-0.066,292.3515,48.511082,15.530999999999999,Positive
499,0,0,0,0,0.783276173,1.27e-06,-1.27e-06,355.94865,0.00112,-0.00112,0.040999999999999995,0.4,-0.04,1.6735,0.0357,-0.0357,264.7,6.7,-6.7,1.98,0.31,-0.34,2149,5056.88,2049.01,-1766.17,46.9,1,5640,76,-76,4.247,0.162,-0.10800000000000001,1.2329999999999999,0.19,-0.21100000000000002,292.17859,42.005909,15.005,Positive
515,0,0,0,0,345.15893539999996,0.000426,-0.000426,318.307719,0.000785,-0.000785,0.87,0.004,-0.006999999999999999,7.5646,0.0644,-0.0644,5087.9,32.1,-32.1,7.79,1.13,-0.36,241,0.8,0.34,-0.13,197.9,1,5597,112,-112,4.515,0.021,-0.11900000000000001,0.9309999999999999,0.136,-0.042,287.02227999999997,48.681938,13.46,Positive
517,0,0,0,0,99.6442783,0.00010729999999999999,-0.00010729999999999999,283.236289,0.0007610000000000001,-0.0007610000000000001,0.966,0.028999999999999998,-0.018000000000000002,5.1772,0.0643,-0.0643,3215.6,29.6,-29.6,8.48,1.27,-0.55,415,6.98,2.77,-1.23,163.2,1,6102,82,-91,4.447,0.04,-0.12,1.016,0.153,-0.066,292.22839,42.03537,13.75,Positive
549,0,0,0,0,6.84639884,1.92e-05,-1.92e-05,133.76181,0.00237,-0.00237,0.9,0.011000000000000001,-0.627,3.4919,0.0593,-0.0593,149.7,4.6,-4.6,1.9,0.35,-0.28,1132,387.84,198.25,-130.26,36.3,1,6065,121,-133,4.251,0.125,-0.125,1.31,0.23800000000000002,-0.19399999999999998,295.29385,48.374802,13.137,Positive
552,0,0,0,0,3.0161820130000003,9.75e-06,-9.75e-06,133.88395,0.00266,-0.00266,0.732,0.182,-0.491,2.8349,0.0793,-0.0793,222.5,8.1,-8.1,2.25,0.37,-0.45,1449,1044.49,459.93,-414.44,31.9,1,5611,84,-75,4.144,0.195,-0.105,1.4,0.231,-0.28300000000000003,293.46902,42.822410999999995,14.878,Positive
564,0,0,0,0,321.2124365,0.00040360000000000005,-0.00040360000000000005,206.930556,0.0009939999999999999,-0.0009939999999999999,0.873,0.035,-0.581,4.012,0.165,-0.165,2358.6,33.2,-33.2,7.25,1.16,-1.17,310,2.17,1.0,-0.76,81.7,1,6018,120,-120,4.257,0.13699999999999998,-0.11199999999999999,1.286,0.207,-0.207,288.32043,42.261414,13.709000000000001,Positive
574,0,0,0,0,15.19423359,8.340000000000001e-05,-8.340000000000001e-05,142.73422,0.00458,-0.00458,0.9059999999999999,0.054000000000000006,-0.611,3.1060000000000003,0.125,-0.125,367.8,22.5,-22.5,3.69,0.57,-0.85,893,150.25,61.93,-66.07,18.1,2,5588,83,-75,4.047,0.203,-0.087,1.5930000000000002,0.245,-0.368,287.1749,44.878571,15.12,Positive
605,0,0,0,0,162.04795019999997,0.0001153,-0.0001153,278.88057299999997,0.000508,-0.000508,0.6629999999999999,0.015,-0.021,9.8974,0.046,-0.046,4840.5,15.1,-15.1,11.52,2.07,-2.06,437,8.65,3.96,-3.12,370.2,1,6309,75,-82,4.16,0.14800000000000002,-0.121,1.567,0.281,-0.281,294.2655,44.7943,13.632,Positive
616,0,0,0,0,1.694740233,1.28e-06,-1.28e-06,355.357543,0.000547,-0.000547,0.6709999999999999,0.001,-0.534,1.6864,0.0323,-0.0323,1446.8,18.0,-18.0,2.12,0.14,-0.15,797,95.14,21.52,-20.22,92.3,1,3764,75,-83,4.739,0.033,-0.033,0.527,0.034,-0.038,283.55554,45.614262,15.804,Positive
623,0,0,0,0,22.79020351,6.879999999999999e-05,-6.879999999999999e-05,138.68515,0.00257,-0.00257,0.036000000000000004,0.415,-0.036000000000000004,5.0394,0.079,-0.079,617.9,13.9,-13.9,2.57,0.36,-0.36,634,38.27,14.48,-11.44,47.7,1,5478,82,-74,4.354,0.132,-0.096,1.053,0.147,-0.147,285.0361,45.071059999999996,14.765999999999998,Positive
624,0,0,0,0,13.26079792,9.8e-05,-9.8e-05,139.0988,0.00554,-0.00554,0.22,0.25,-0.22,3.912,0.16899999999999998,-0.16899999999999998,199.4,12.4,-12.4,1.47,0.2,-0.21,760,78.79,29.8,-23.55,17.6,2,5478,82,-74,4.354,0.132,-0.096,1.053,0.147,-0.147,285.0361,45.071059999999996,14.765999999999998,Positive
630,0,0,0,0,6.230335,1.01e-05,-1.01e-05,181.29566,0.00134,-0.00134,0.8079999999999999,0.092,-0.595,1.6493,0.0514,-0.0514,1449.2,47.2,-47.2,3.7,0.74,-0.31,875,138.33,87.09,-37.97,31.6,1,5477,172,-191,4.5569999999999995,0.027000000000000003,-0.153,0.865,0.17300000000000001,-0.07400000000000001,284.20966,45.25808,15.977,Positive
633,0,0,0,0,6.247030799,8.93e-06,-8.93e-06,356.90972,0.00103,-0.00103,0.039,0.355,-0.039,1.4848,0.0365,-0.0365,1496.6,38.5,-38.5,1.89,0.15,-0.19,512,16.23,4.25,-4.11,44.8,1,3821,76,-84,4.763999999999999,0.048,-0.036000000000000004,0.48700000000000004,0.039,-0.047,299.6777,45.972328000000005,15.369000000000002,Positive
643,0,0,0,0,42.0370662,0.00042780000000000004,-0.00042780000000000004,178.25006000000002,0.00748,-0.00748,0.672,0.002,-0.517,6.282,0.22,-0.22,266.8,18.3,-18.3,1.66,0.45,-0.24,527,18.16,14.52,-6.42,14.7,2,5823,157,-174,4.427,0.10099999999999999,-0.188,0.96,0.261,-0.14,292.27612,39.550179,14.609000000000002,Positive
